Priority,Business Name,Phone,Email,Address,City,Category,Has Website,Current Website,Why They're a Good Target,Suggested Outreach Angle,Call Script,Prospect ID,Date Found
🔥 HOT,Morning Brew Cafe,(805) 555-0679,,,San Diego,Restaurant,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Restaurants need online menus and reservation systems; Phone only - call during business hours,"Hi, this is Ruben. I was looking for restaurant services in San Diego and noticed Morning Brew Cafe doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975919707_1mpyd9xw4,2/24/2026
🔥 HOT,Coastal Dental Care,(805) 555-0890,,,Huntington Beach,Medical,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Medical practices need patient portals and appointment booking; Phone only - call during business hours,"Hi, this is Ruben. I was looking for medical services in Huntington Beach and noticed Coastal Dental Care doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975913699_m08opez3g,2/24/2026
🔥 HOT,Valley Professionals,(805) 555-0400,,,Torrance,Home Services,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Home service providers found via Google - need SEO-optimized sites; Phone only - call during business hours,"Hi, this is Ruben. I was looking for home services services in Torrance and noticed Valley Professionals doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975912196_i57f94xe6,2/24/2026
🔥 HOT,Santa Barbara Roofers,(805) 555-0790,,,Camarillo,Contractor,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Contractors lose jobs without websites - homeowners research online first; Phone only - call during business hours,"Hi, this is Ruben. I was looking for contractor services in Camarillo and noticed Santa Barbara Roofers doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771975910691_qt32cu610,2/24/2026
🔥 HOT,Unknown,,,,Ventura,Medical,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Medical practices need patient portals and appointment booking; Phone only - call during business hours,"Hi, this is Ruben. I was looking for medical services in Ventura and noticed null doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771895708134_99,2/23/2026
🔥 HOT,Unknown,,,,Ventura,Medical,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Medical practices need patient portals and appointment booking; Phone only - call during business hours,"Hi, this is Ruben. I was looking for medical services in Ventura and noticed null doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771895708134_98,2/23/2026
🔥 HOT,Unknown,,,,Ventura,Professional,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Professional services need credibility through web presence; Phone only - call during business hours,"Hi, this is Ruben. I was looking for professional services in Ventura and noticed null doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771895708134_97,2/23/2026
🔥 HOT,Unknown,,,,Ventura,Professional,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Professional services need credibility through web presence; Phone only - call during business hours,"Hi, this is Ruben. I was looking for professional services in Ventura and noticed null doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771895708134_96,2/23/2026
🔥 HOT,Unknown,,,,Ventura,Professional,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Professional services need credibility through web presence; Phone only - call during business hours,"Hi, this is Ruben. I was looking for professional services in Ventura and noticed null doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771895708134_95,2/23/2026
🔥 HOT,Unknown,,,,Ventura,Retail,No,,NO WEBSITE - Critical need for online presence,NO WEBSITE - Immediate need for web presence; Retail stores need online catalog and contact info; Phone only - call during business hours,"Hi, this is Ruben. I was looking for retail services in Ventura and noticed null doesn't have a website. I help local businesses get online with professional $500 websites. Would you be interested in a free mockup?",prospect_1771895708134_94,2/23/2026
